iter	Passed	Remaining
535	813	704
536	814	702
537	815	700
538	816	698
539	817	696
540	819	695
541	820	693
542	821	691
543	822	689
544	823	687
545	824	685
546	825	683
547	826	681
548	827	679
549	829	678
550	832	678
551	834	677
552	836	675
553	837	674
554	838	672
555	840	671
556	841	669
557	842	667
558	844	665
559	845	663
560	846	662
561	848	661
562	852	661
563	853	659
564	854	657
565	855	655
566	858	655
567	859	653
568	860	651
569	861	649
570	863	648
571	865	647
572	866	645
573	869	644
574	870	643
575	871	641
576	872	639
577	873	637
578	874	636
579	876	634
580	878	633
581	880	632
582	881	630
583	883	629
584	884	627
585	885	625
586	886	623
587	887	621
588	888	619
589	889	617
590	890	616
591	890	614
592	893	613
593	896	612
594	897	610
595	898	609
596	899	607
597	901	605
598	902	604
599	903	602
600	904	600
601	906	599
602	911	599
603	912	597
604	913	596
605	915	594
606	916	593
607	917	591
608	918	589
609	919	587
610	920	585
611	921	584
612	923	583
613	924	581
614	926	579
615	927	577
616	928	576
617	929	574
618	930	572
619	931	570
620	932	568
621	933	567
622	935	566
623	938	565
624	939	563
625	940	561
626	941	559
627	942	558
628	942	556
629	943	554
630	944	552
631	945	550
632	946	548
633	947	547
634	953	548
635	955	546
636	956	544
637	957	543
638	958	541
639	959	539
640	960	538
641	961	536
642	963	534
643	964	533
644	968	533
645	969	531
646	971	529
647	972	528
648	973	526
649	974	524
650	975	523
651	976	521
652	977	519
653	982	519
654	985	518
655	987	517
656	988	515
657	988	513
658	989	512
659	990	510
660	991	508
661	992	506
662	993	504
663	995	503
664	996	501
665	999	501
666	1000	499
667	1002	498
668	1003	496
669	1005	495
670	1006	493
671	1007	491
672	1008	489
673	1013	490
674	1014	488
675	1016	487
676	1017	485
677	1019	484
678	1021	482
679	1022	481
680	1023	479
681	1024	477
682	1026	476
683	1029	475
684	1032	474
685	1033	473
686	1036	472
687	1038	470
688	1039	469
689	1045	469
690	1047	468
691	1048	466
692	1050	465
693	1052	463
694	1053	462
695	1054	460
696	1055	458
697	1057	457
698	1060	456
699	1061	455
700	1063	453
701	1064	451
702	1066	450
703	1067	449
704	1069	447
705	1071	446
706	1078	446
707	1079	445
708	1080	443
709	1081	441
710	1083	440
711	1086	439
712	1091	439
713	1093	437
714	1094	436
715	1095	434
716	1097	433
717	1098	431
718	1099	429
719	1101	428
720	1103	427
721	1105	425
722	1107	424
723	1109	422
724	1110	421
725	1111	419
726	1112	417
727	1113	416
728	1114	414
729	1116	412
730	1119	412
731	1125	411
732	1126	410
733	1127	408
734	1129	407
735	1131	405
736	1136	405
737	1137	403
738	1141	403
739	1142	401
740	1143	399
741	1145	398
742	1146	396
743	1147	394
744	1149	393
745	1151	392
746	1153	390
747	1154	389
748	1155	387
749	1157	385
750	1158	384
751	1159	382
752	1161	381
753	1163	379
754	1165	378
755	1167	376
756	1169	375
757	1170	373
758	1171	372
759	1172	370
760	1174	368
761	1175	367
762	1176	365
763	1179	364
764	1182	363
765	1183	361
766	1184	359
767	1185	358
768	1187	356
769	1188	354
770	1189	353
771	1190	351
772	1191	349
773	1195	349
774	1197	347
775	1199	346
776	1200	344
777	1202	342
778	1203	341
779	1204	339
780	1205	338
781	1208	336
782	1210	335
783	1211	333
784	1212	332
785	1214	330
786	1215	328
787	1216	327
788	1217	325
789	1218	324
790	1220	322
791	1223	321
792	1226	320
793	1229	318
794	1230	317
795	1231	315
796	1233	314
797	1234	312
798	1235	310
799	1237	309
800	1240	308
801	1242	306
802	1244	305
803	1245	303
804	1246	301
805	1248	300
806	1249	298
807	1250	297
808	1252	295
809	1254	294
810	1257	292
811	1258	291
812	1260	289
813	1261	288
814	1263	286
815	1264	285
816	1265	283
817	1266	281
818	1271	281
819	1273	279
820	1274	277
821	1275	276
822	1278	274
823	1280	273
824	1281	271
825	1283	270
826	1284	268
827	1286	267
828	1288	265
829	1289	264
830	1290	262
831	1292	260
832	1293	259
833	1295	257
834	1296	256
835	1297	254
836	1300	253
837	1302	251
838	1303	250
839	1305	248
840	1306	247
841	1308	245
842	1309	243
843	1310	242
844	1312	240
845	1314	239
846	1315	237
847	1317	236
848	1318	234
849	1320	232
850	1321	231
851	1323	229
852	1324	228
853	1325	226
854	1331	225
855	1332	224
856	1334	222
857	1335	221
858	1337	219
859	1338	217
860	1339	216
861	1340	214
862	1341	212
863	1342	211
864	1343	209
865	1344	208
866	1345	206
867	1346	204
868	1347	203
869	1349	201
870	1350	199
871	1351	198
872	1352	196
873	1353	195
874	1354	193
875	1356	192
876	1358	190
877	1361	189
878	1363	187
879	1364	186
880	1365	184
881	1367	182
882	1368	181
883	1370	179
884	1371	178
885	1373	176
886	1375	175
887	1376	173
888	1378	172
889	1379	170
890	1381	169
891	1383	167
892	1384	165
893	1385	164
894	1387	162
895	1389	161
896	1391	159
897	1392	158
898	1394	156
899	1395	155
900	1397	153
901	1399	152
902	1401	150
903	1402	148
904	1404	147
905	1408	146
906	1409	144
907	1411	142
908	1412	141
909	1415	139
910	1417	138
911	1419	136
912	1424	135
913	1426	134
914	1428	132
915	1430	131
916	1432	129
917	1435	128
918	1437	126
919	1439	125
920	1440	123
921	1442	122
922	1444	120
923	1445	118
924	1447	117
925	1448	115
926	1450	114
927	1452	112
928	1454	111
929	1455	109
930	1457	108
931	1458	106
932	1460	104
933	1461	103
934	1463	101
935	1464	100
936	1466	98
937	1468	97
938	1470	95
939	1471	93
940	1472	92
941	1474	90
942	1475	89
943	1477	87
944	1479	86
945	1481	84
946	1482	82
947	1484	81
948	1485	79
949	1487	78
950	1488	76
951	1490	75
952	1492	73
953	1493	72
954	1495	70
955	1497	68
956	1498	67
957	1500	65
958	1501	64
959	1503	62
960	1504	61
961	1506	59
962	1508	57
963	1510	56
964	1512	54
965	1514	53
966	1516	51
967	1517	50
968	1519	48
969	1520	47
970	1522	45
971	1524	43
972	1526	42
973	1528	40
974	1529	39
975	1531	37
976	1532	36
977	1534	34
978	1536	32
979	1538	31
980	1539	29
981	1542	28
982	1543	26
983	1545	25
984	1547	23
985	1549	21
986	1550	20
987	1552	18
988	1555	17
989	1557	15
990	1559	14
991	1560	12
992	1562	11
993	1564	9
994	1566	7
995	1567	6
996	1569	4
997	1571	3
998	1573	1
999	1574	0
